Vehicle_ID,Speed,Position,Cluster
veh1.0,0.0,"(5.1, -1.6)",2
veh1.0,1.4416886697057636,"(6.5416886697057635, -1.6)",2
veh1.0,3.1154472965048625,"(9.657135966210626, -1.6)",2
veh1.0,5.656324048852548,"(15.313460015063175, -1.6)",2
veh1.0,7.617445287271403,"(22.93090530233458, -1.6)",2
veh1.0,9.450504052452745,"(32.38140935478732, -1.6)",2
veh1.0,11.993808667873964,"(44.37521802266129, -1.6)",2
veh1.0,13.627574073756112,"(58.0027920964174, -1.6)",2
veh1.0,14.40133640477048,"(72.40412850118788, -1.6)",2
veh1.0,14.014229275119355,"(86.41835777630725, -1.6)",2
veh1.0,13.75443178161127,"(100.17278955791852, -1.6)",3
veh1.1,0.0,"(5.1, -1.6)",2
veh1.0,14.715241457122245,"(114.88803101504077, -1.6)",3
veh1.1,1.7250949274515732,"(6.825094927451573, -1.6)",2
veh1.0,14.117072716188485,"(129.00510373122924, -1.6)",3
veh1.1,3.7373498278204353,"(10.562444755272008, -1.6)",2
veh1.0,13.986928757904897,"(142.99203248913415, -1.6)",3
veh1.1,5.9934796738205485,"(16.555924429092556, -1.6)",2
veh1.0,14.644752712660337,"(157.63678520179448, -1.6)",3
veh1.1,7.455220672953875,"(24.01114510204643, -1.6)",2
veh1.0,14.30453382972242,"(171.9413190315169, -1.6)",3
veh1.1,9.1665319532156,"(33.17767705526203, -1.6)",2
veh1.0,14.663030518284865,"(186.60434954980178, -1.6)",3
veh1.1,11.099675680417567,"(44.2773527356796, -1.6)",2
veh1.0,14.32390419090712,"(200.9282537407089, -1.6)",0
veh1.1,12.209549046690842,"(56.48690178237044, -1.6)",2
veh1.0,13.502336223838716,"(214.4305899645476, -1.6)",0
veh1.1,11.961468727035715,"(68.44837050940615, -1.6)",2
veh1.0,13.569174387046,"(227.9997643515936, -1.6)",0
veh1.1,12.51751749078863,"(80.96588800019478, -1.6)",2
veh1.0,14.015479699099302,"(242.0152440506929, -1.6)",0
veh1.1,12.725335905781282,"(93.69122390597606, -1.6)",3
veh1.2,0.0,"(5.1, -1.6)",2
veh1.0,14.680944381673688,"(256.69618843236657, -1.6)",0
veh1.1,12.640777980197488,"(106.33200188617354, -1.6)",3
veh1.2,1.6061472685541958,"(6.706147268554195, -1.6)",2
veh1.0,14.51624855720052,"(271.2124369895671, -1.6)",0
veh1.1,11.789501304911717,"(118.12150319108525, -1.6)",3
veh1.2,4.167377513437532,"(10.873524781991726, -1.6)",2
veh1.0,13.83249505175823,"(285.0449320413253, -1.6)",0
veh1.1,12.60236881544002,"(130.72387200652528, -1.6)",3
veh1.2,6.599189210101031,"(17.472713992092757, -1.6)",2
veh1.0,14.560090271123553,"(299.60502231244885, -1.6)",4
veh1.1,12.498319995204254,"(143.22219200172952, -1.6)",3
veh1.2,7.94528360357508,"(25.41799759566784, -1.6)",2
veh1.0,14.379792794488235,"(313.9848151069371, -1.6)",4
veh1.1,12.74299812054847,"(155.965190122278, -1.6)",3
veh1.2,10.326946113840677,"(35.74494370950852, -1.6)",2
veh1.0,13.97999581025993,"(327.96481091719704, -1.6)",4
veh1.1,12.719263151531376,"(168.68445327380937, -1.6)",3
veh1.2,11.87173578729853,"(47.61667949680705, -1.6)",2
veh1.0,14.607357941238076,"(342.57216885843513, -1.6)",4
veh1.1,12.164505192275426,"(180.84895846608478, -1.6)",3
veh1.2,13.104129404975936,"(60.72080890178299, -1.6)",2
veh1.0,13.94799248741088,"(356.520161345846, -1.6)",4
veh1.1,12.133977365527567,"(192.98293583161234, -1.6)",0
veh1.2,12.818788247002193,"(73.53959714878518, -1.6)",2
veh1.0,13.475164439990982,"(369.995325785837, -1.6)",4
veh1.1,12.632946930021316,"(205.61588276163366, -1.6)",0
veh1.2,13.394013593584202,"(86.93361074236938, -1.6)",2
veh1.0,13.968998299791345,"(383.96432408562833, -1.6)",4
veh1.1,12.814149827986292,"(218.43003258961994, -1.6)",0
veh1.2,12.79298038208475,"(99.72659112445413, -1.6)",3
veh1.3,0.0,"(5.1, -1.6)",2
veh1.0,14.484722397309593,"(398.44904648293794, -1.6)",4
veh1.1,12.19893732649394,"(230.62896991611387, -1.6)",0
veh1.2,13.83697507950095,"(113.56356620395508, -1.6)",3
veh1.3,2.5638105904916304,"(7.6638105904916305, -1.6)",2
veh1.0,14.360592802400566,"(412.8096392853385, -1.6)",1
veh1.1,12.32226886091408,"(242.95123877702795, -1.6)",0
veh1.2,12.827817940507918,"(126.39138414446299, -1.6)",3
veh1.3,5.07674504024908,"(12.74055563074071, -1.6)",2
veh1.0,14.49041576871728,"(427.3000550540558, -1.6)",1
veh1.1,11.743118310753523,"(254.6943570877815, -1.6)",0
veh1.2,13.626337601971716,"(140.01772174643472, -1.6)",3
veh1.3,7.236027374747209,"(19.976583005487917, -1.6)",2
veh1.0,14.61126370036123,"(441.91131875441704, -1.6)",1
veh1.1,12.295777572469122,"(266.9901346602506, -1.6)",0
veh1.2,13.765035669580936,"(153.78275741601564, -1.6)",3
veh1.3,9.60116577458102,"(29.577748780068937, -1.6)",2
veh1.0,14.66218958682926,"(456.5735083412463, -1.6)",1
veh1.1,12.929069363685592,"(279.9192040239362, -1.6)",0
veh1.2,13.095918376586305,"(166.87867579260194, -1.6)",3
veh1.3,11.743766057584434,"(41.32151483765337, -1.6)",2
veh1.0,14.346038469086269,"(470.9195468103326, -1.6)",1
veh1.1,12.756992122355184,"(292.6761961462914, -1.6)",0
veh1.2,13.15207602591803,"(180.03075181851997, -1.6)",3
veh1.3,13.793579831486566,"(55.115094669139935, -1.6)",2
veh1.0,13.92343720669938,"(484.84298401703194, -1.6)",1
veh1.1,12.526393632694417,"(305.2025897789858, -1.6)",4
veh1.2,13.367688934929571,"(193.39844075344953, -1.6)",0
veh1.3,13.965056352590604,"(69.08015102173054, -1.6)",2
veh1.0,13.962565700985357,"(498.8055497180173, -1.6)",1
veh1.1,12.490741171768205,"(317.693330950754, -1.6)",4
veh1.2,13.559629462455302,"(206.95807021590483, -1.6)",0
veh1.3,13.768378437956256,"(82.8485294596868, -1.6)",2
veh1.1,12.639508527341563,"(330.33283947809554, -1.6)",4
veh1.2,13.898222928034045,"(220.85629314393887, -1.6)",0
veh1.3,13.900047921988577,"(96.74857738167537, -1.6)",3
veh1.1,12.220270746817148,"(342.5531102249127, -1.6)",4
veh1.2,12.83197956760963,"(233.6882727115485, -1.6)",0
veh1.3,14.397763652511332,"(111.1463410341867, -1.6)",3
veh1.4,0.0,"(5.1, -1.6)",2
veh1.1,12.4804344453954,"(355.0335446703081, -1.6)",4
veh1.2,13.110384197538622,"(246.79865690908713, -1.6)",0
veh1.3,14.445738084887546,"(125.59207911907424, -1.6)",3
veh1.4,1.4640198886394502,"(6.56401988863945, -1.6)",2
veh1.1,12.287320170562053,"(367.3208648408702, -1.6)",4
veh1.2,12.771424872852766,"(259.5700817819399, -1.6)",0
veh1.3,14.65303179348672,"(140.245110912561, -1.6)",3
veh1.4,3.529615886230021,"(10.093635774869472, -1.6)",2
veh1.1,12.587334992467692,"(379.90819983333785, -1.6)",4
veh1.2,13.125029922608189,"(272.6951117045481, -1.6)",0
