Vehicle_ID,Cluster,AoN,SoN,SoB,Reputation
veh1.0,2,0,809.0,0.6587770388966319,2.7833874444505855
veh1.0,2,1,809.0,0.6587770388966319,2.795801724247465
veh1.0,2,2,809.0,0.6587770388966319,2.8082160040443447
veh1.0,2,3,809.0,0.6587770388966319,2.8206302838412243
veh1.0,2,4,809.0,0.6587770388966319,2.8330445636381034
veh1.0,2,5,809.0,0.6587770388966319,2.845458843434983
veh1.0,2,6,809.0,0.6587770388966319,2.8578731232318626
veh1.0,2,7,809.0,0.6587770388966319,2.870287403028742
veh1.0,2,8,809.0,0.6587770388966319,2.882701682825622
veh1.0,2,9,809.0,0.6587770388966319,2.8951159626225014
veh1.0,3,10,809.0,0.6587770388966319,2.907530242419381
veh1.1,2,0,806.8,0.8251268086890751,2.99545528673594
veh1.0,3,12,809.0,0.6587770388966319,2.93235880201314
veh1.1,2,2,806.8,0.8251268086890751,3.0202838463296993
veh1.0,3,14,809.0,0.6587770388966319,2.9571873616068993
veh1.1,2,4,806.8,0.8251268086890751,3.045112405923458
veh1.0,3,16,809.0,0.6587770388966319,2.9820159212006585
veh1.1,2,6,806.8,0.8251268086890751,3.069940965517217
veh1.0,3,18,809.0,0.6587770388966319,3.0068444807944177
veh1.1,2,8,806.8,0.8251268086890751,3.0947695251109764
veh1.0,3,20,809.0,0.6587770388966319,3.0316730403881764
veh1.1,2,10,806.8,0.8251268086890751,3.1195980847047355
veh1.0,3,22,809.0,0.6587770388966319,3.0565015999819356
veh1.1,2,12,806.8,0.8251268086890751,3.1444266442984947
veh1.0,0,24,809.0,0.6587770388966319,3.081330159575695
veh1.1,2,14,806.8,0.8251268086890751,3.169255203892254
veh1.0,0,26,809.0,0.6587770388966319,3.106158719169454
veh1.1,2,16,806.8,0.8251268086890751,3.194083763486013
veh1.0,0,28,809.0,0.6587770388966319,3.130987278763213
veh1.1,2,18,806.8,0.8251268086890751,3.2189123230797723
veh1.0,0,30,809.0,0.6587770388966319,3.1558158383569723
veh1.1,3,20,806.8,0.8251268086890751,3.2437408826735314
veh1.2,2,0,802.6,0.7143094106658358,2.840715758604424
veh1.0,0,33,809.0,0.6587770388966319,3.1930586777476107
veh1.1,3,23,806.8,0.8251268086890751,3.28098372206417
veh1.2,2,3,802.6,0.7143094106658358,2.877958597995063
veh1.0,0,36,809.0,0.6587770388966319,3.2303015171382494
veh1.1,3,26,806.8,0.8251268086890751,3.318226561454808
veh1.2,2,6,802.6,0.7143094106658358,2.9152014373857016
veh1.0,0,39,809.0,0.6587770388966319,3.267544356528888
veh1.1,3,29,806.8,0.8251268086890751,3.355469400845447
veh1.2,2,9,802.6,0.7143094106658358,2.95244427677634
veh1.0,4,42,809.0,0.6587770388966319,3.304787195919527
veh1.1,3,32,806.8,0.8251268086890751,3.3927122402360856
veh1.2,2,12,802.6,0.7143094106658358,2.9896871161669787
veh1.0,4,45,809.0,0.6587770388966319,3.3420300353101653
veh1.1,3,35,806.8,0.8251268086890751,3.4299550796267244
veh1.2,2,15,802.6,0.7143094106658358,3.0269299555576175
veh1.0,4,48,809.0,0.6587770388966319,3.379272874700804
veh1.1,3,38,806.8,0.8251268086890751,3.467197919017363
veh1.2,2,18,802.6,0.7143094106658358,3.0641727949482562
veh1.0,4,51,809.0,0.6587770388966319,3.416515714091443
veh1.1,3,41,806.8,0.8251268086890751,3.504440758408002
veh1.2,2,21,802.6,0.7143094106658358,3.1014156343388946
veh1.0,4,54,809.0,0.6587770388966319,3.4537585534820816
veh1.1,0,44,806.8,0.8251268086890751,3.5416835977986407
veh1.2,2,24,802.6,0.7143094106658358,3.1386584737295333
veh1.0,4,57,809.0,0.6587770388966319,3.49100139287272
veh1.1,0,47,806.8,0.8251268086890751,3.5789264371892795
veh1.2,2,27,802.6,0.7143094106658358,3.175901313120172
veh1.0,4,60,809.0,0.6587770388966319,3.5282442322633587
veh1.1,0,50,806.8,0.8251268086890751,3.6161692765799174
veh1.2,3,30,802.6,0.7143094106658358,3.213144152510811
veh1.3,2,0,796.4,0.8561187109048023,3.011219954803157
veh1.0,4,64,809.0,0.6587770388966319,3.577901351450877
veh1.1,0,54,806.8,0.8251268086890751,3.6658263957674357
veh1.2,3,34,802.6,0.7143094106658358,3.262801271698329
veh1.3,2,4,796.4,0.8561187109048023,3.0608770739906754
veh1.0,1,68,809.0,0.6587770388966319,3.6275584706383954
veh1.1,0,58,806.8,0.8251268086890751,3.715483514954954
veh1.2,3,38,802.6,0.7143094106658358,3.312458390885847
veh1.3,2,8,796.4,0.8561187109048023,3.110534193178194
veh1.0,1,72,809.0,0.6587770388966319,3.6772155898259133
veh1.1,0,62,806.8,0.8251268086890751,3.7651406341424725
veh1.2,3,42,802.6,0.7143094106658358,3.3621155100733655
veh1.3,2,12,796.4,0.8561187109048023,3.160191312365712
veh1.0,1,76,809.0,0.6587770388966319,3.7268727090134317
veh1.1,0,66,806.8,0.8251268086890751,3.814797753329991
veh1.2,3,46,802.6,0.7143094106658358,3.4117726292608834
veh1.3,2,16,796.4,0.8561187109048023,3.2098484315532296
veh1.0,1,80,809.0,0.6587770388966319,3.7765298282009496
veh1.1,0,70,806.8,0.8251268086890751,3.864454872517509
veh1.2,3,50,802.6,0.7143094106658358,3.461429748448402
veh1.3,2,20,796.4,0.8561187109048023,3.259505550740748
veh1.0,1,84,809.0,0.6587770388966319,3.826186947388468
veh1.1,0,74,806.8,0.8251268086890751,3.9141119917050267
veh1.2,3,54,802.6,0.7143094106658358,3.51108686763592
veh1.3,2,24,796.4,0.8561187109048023,3.3091626699282664
veh1.0,1,88,809.0,0.6587770388966319,3.8758440665759863
veh1.1,4,78,806.8,0.8251268086890751,3.963769110892545
veh1.2,0,58,802.6,0.7143094106658358,3.560743986823438
veh1.3,2,28,796.4,0.8561187109048023,3.3588197891157847
veh1.0,1,92,809.0,0.6587770388966319,3.9255011857635047
veh1.1,4,82,806.8,0.8251268086890751,4.013426230080063
veh1.2,0,62,802.6,0.7143094106658358,3.6104011060109564
veh1.3,2,32,796.4,0.8561187109048023,3.408476908303303
veh1.1,4,85,806.8,0.8251268086890751,4.050669069470702
veh1.2,0,65,802.6,0.7143094106658358,3.647643945401595
veh1.3,3,35,796.4,0.8561187109048023,3.445719747693942
veh1.1,4,88,806.8,0.8251268086890751,4.087911908861341
veh1.2,0,68,802.6,0.7143094106658358,3.684886784792234
veh1.3,3,38,796.4,0.8561187109048023,3.4829625870845797
veh1.4,2,0,788.6,0.755455868996624,2.861188401792182
veh1.1,4,92,806.8,0.8251268086890751,4.137569028048859
veh1.2,0,72,802.6,0.7143094106658358,3.734543903979752
veh1.3,3,42,796.4,0.8561187109048023,3.532619706272098
veh1.4,2,4,788.6,0.755455868996624,2.9108455209797004
veh1.1,4,96,806.8,0.8251268086890751,4.187226147236377
veh1.2,0,76,802.6,0.7143094106658358,3.7842010231672703
veh1.3,3,46,796.4,0.8561187109048023,3.5822768254596165
veh1.4,2,8,788.6,0.755455868996624,2.9605026401672188
veh1.1,4,100,806.8,0.8251268086890751,4.236883266423895
veh1.2,0,80,802.6,0.7143094106658358,3.833858142354788
veh1.3,3,50,796.4,0.8561187109048023,3.631933944647135
veh1.4,2,12,788.6,0.755455868996624,3.0101597593547362
veh1.1,4,104,806.8,0.8251268086890751,4.2865403856114135
veh1.2,0,84,802.6,0.7143094106658358,3.8835152615423065
veh1.3,3,54,796.4,0.8561187109048023,3.681591063834653
veh1.4,2,16,788.6,0.755455868996624,3.0598168785422546
veh1.1,1,108,806.8,0.8251268086890751,4.336197504798932
veh1.2,4,88,802.6,0.7143094106658358,3.933172380729825
veh1.3,3,58,796.4,0.8561187109048023,3.7312481830221715
veh1.4,2,20,788.6,0.755455868996624,3.109473997729773
veh1.1,1,112,806.8,0.8251268086890751,4.38585462398645
