Vehicle_ID,Cluster,SoN
veh1.0,2,10
veh1.0,3,14
veh1.0,0,18
veh1.0,4,26
veh1.0,1,3977
veh1.1,2,20
veh1.1,3,24
veh1.1,0,34
veh1.1,4,30
veh1.1,1,3926
veh1.2,2,30
veh1.2,3,28
veh1.2,0,30
veh1.2,4,34
veh1.2,1,3891
veh1.3,2,35
veh1.3,3,27
veh1.3,0,30
veh1.3,4,28
veh1.3,1,3862
veh1.4,2,40
veh1.4,3,34
veh1.4,0,28
veh1.4,4,28
veh1.4,1,3813
veh1.5,2,42
veh1.5,3,33
veh1.5,0,39
veh1.5,4,35
veh1.5,1,3753
veh1.6,2,33
veh1.6,3,31
veh1.6,0,27
veh1.6,4,34
veh1.6,1,3734
veh1.7,2,39
veh1.7,3,36
veh1.7,0,43
veh1.7,4,35
veh1.7,1,3669
veh1.8,2,36
veh1.8,3,43
veh1.8,0,31
veh1.8,4,41
veh1.8,1,3631
veh1.9,2,46
veh1.9,3,36
veh1.9,0,45
veh1.9,4,39
veh1.9,1,3575
veh1.10,2,40
veh1.10,3,33
veh1.10,0,31
veh1.10,4,29
veh1.10,1,3565
veh1.11,2,41
veh1.11,3,35
veh1.11,0,37
veh1.11,4,28
veh1.11,1,3516
veh1.12,2,43
veh1.12,3,35
veh1.12,0,30
veh1.12,4,27
veh1.12,1,3476
veh1.13,2,42
veh1.13,3,27
veh1.13,0,27
veh1.13,4,26
veh1.13,1,3445
veh1.14,2,39
veh1.14,3,32
veh1.14,0,30
veh1.14,4,28
veh1.14,1,3392
veh1.15,2,38
veh1.15,3,33
veh1.15,0,31
veh1.15,4,36
veh1.15,1,3343
veh1.16,2,36
veh1.16,3,36
veh1.16,0,36
veh1.16,4,39
veh1.16,1,3295
veh1.17,2,36
veh1.17,3,36
veh1.17,0,35
veh1.17,4,36
veh1.17,1,3262
veh1.18,2,40
veh1.18,3,35
veh1.18,0,41
veh1.18,4,34
veh1.18,1,3214
veh1.19,2,39
veh1.19,3,33
veh1.19,0,26
veh1.19,4,28
veh1.19,1,3197
veh1.20,2,45
veh1.20,3,30
veh1.20,0,34
veh1.20,4,27
veh1.20,1,3143
veh1.21,2,38
veh1.21,3,32
veh1.21,0,29
veh1.21,4,27
veh1.21,1,3107
veh1.22,2,37
veh1.22,3,32
veh1.22,0,31
veh1.22,4,31
veh1.22,1,3059
veh1.23,2,39
veh1.23,3,36
veh1.23,0,35
veh1.23,4,36
veh1.23,1,3006
veh1.24,2,39
veh1.24,3,40
veh1.24,0,40
veh1.24,4,44
veh1.24,1,2949
veh1.25,2,40
veh1.25,3,36
veh1.25,0,40
veh1.25,4,43
veh1.25,1,2913
veh1.26,2,40
veh1.26,3,40
veh1.26,0,39
veh1.26,4,42
veh1.26,1,2870
veh1.27,2,44
veh1.27,3,40
veh1.27,0,37
veh1.27,4,35
veh1.27,1,2834
veh1.28,2,44
veh1.28,3,33
veh1.28,0,31
veh1.28,4,28
veh1.28,1,2809
veh1.29,2,45
veh1.29,3,39
veh1.29,0,32
veh1.29,4,29
veh1.29,1,2751
veh1.30,2,39
veh1.30,3,29
veh1.30,0,24
veh1.30,4,24
veh1.30,1,2734
veh1.31,2,37
veh1.31,3,28
veh1.31,0,26
veh1.31,4,23
veh1.31,1,2692
veh1.32,2,36
veh1.32,3,32
veh1.32,0,29
veh1.32,4,28
veh1.32,1,2643
veh1.33,2,34
veh1.33,3,27
veh1.33,0,20
veh1.33,4,28
veh1.33,1,2618
veh1.34,2,33
veh1.34,3,31
veh1.34,0,30
veh1.34,4,27
veh1.34,1,2568
veh1.35,2,36
veh1.35,3,28
veh1.35,0,29
veh1.35,4,28
veh1.35,1,2531
veh1.36,2,34
veh1.36,3,32
veh1.36,0,32
veh1.36,4,31
veh1.36,1,2483
veh1.37,2,36
veh1.37,3,24
veh1.37,0,27
veh1.37,4,24
veh1.37,1,2466
veh1.38,2,39
veh1.38,3,28
veh1.38,0,29
veh1.38,4,22
veh1.38,1,2418
veh1.39,2,36
veh1.39,3,33
veh1.39,0,34
veh1.39,4,33
veh1.39,1,2360
veh1.40,2,32
veh1.40,3,31
veh1.40,0,29
veh1.40,4,30
veh1.40,1,2333
veh1.41,2,37
veh1.41,3,32
veh1.41,0,39
veh1.41,4,30
veh1.41,1,2281
veh1.42,2,40
veh1.42,3,31
veh1.42,0,26
veh1.42,4,29
veh1.42,1,2255
veh1.43,2,41
veh1.43,3,28
veh1.43,0,34
